deportation	von	nach	nach_fct	deportation_alt	dep_datum	dep_date	deportation_date_exact	deportation_my	deportation_month	deportation_year
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
in das KZ Auschwitz	NA	KZ Auschwitz	Auschwitz	am 09.09.1942 in das KZ Auschwitz	09.09.1942	09.09.1942	1942-09-09	1942-09-09	Sep	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 04.11.1942 nach Theresienstadt	04.11.1942	04.11.1942	1942-11-04	1942-11-04	Nov	1942
nach Riga	NA	Riga	Riga	am 15.08.1942 nach Riga	15.08.1942	15.08.1942	1942-08-15	1942-08-15	Aug	1942
nach Minsk	NA	Minsk	Minsk	am 14.11.1941 nach Minsk	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
von Westerbork, NL nach Theresienstdt	Westerbork, NL 	Theresienstdt	Theresienstadt	im Jahre 1943 von Westerbork, NL nach Theresienstdt	1943	1943	NA	NA	NA	1943
von Wittenerauer Heilstätten nach Meseritz-Obrawalde	Wittenerauer Heilstätten 	Meseritz-Obrawalde	Meseritz-Obrawalde	am 10.09.1943 von Wittenerauer Heilstätten nach Meseritz-Obrawalde	10.09.1943	10.09.1943	1943-09-10	1943-09-10	Sep	1943
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 24.10.1941 nach Łódź / Litzmannstadt	24.10.1941	24.10.1941	1941-10-24	1941-10-24	Oct	1941
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 10.09.1942 nach Theresienstadt	10.09.1942	10.09.1942	1942-09-10	1942-09-10	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.10.1942 nach Theresienstadt	03.10.1942	03.10.1942	1942-10-03	1942-10-03	Oct	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.10.1942 nach Theresienstadt	03.10.1942	03.10.1942	1942-10-03	1942-10-03	Oct	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.10.1942 nach Theresienstadt	03.10.1942	03.10.1942	1942-10-03	1942-10-03	Oct	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 13.07.1942 nach Theresienstadt	13.07.1942	13.07.1942	1942-07-13	1942-07-13	Jul	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
nach Raasiku b. Reval	NA	Raasiku b. Reval	Raasiku	am 26.09.1942 nach Raasiku b. Reval	26.09.1942	26.09.1942	1942-09-26	1942-09-26	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
nach Raasiku b. Reval	NA	Raasiku b. Reval	Raasiku	am 26.09.1942 nach Raasiku b. Reval	26.09.1942	26.09.1942	1942-09-26	1942-09-26	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Raasiku b. Reval	NA	Raasiku b. Reval	Raasiku	am 26.09.1942 nach Raasiku b. Reval	26.09.1942	26.09.1942	1942-09-26	1942-09-26	Sep	1942
nach Riga	NA	Riga	Riga	am 05.09.1942 nach Riga	05.09.1942	05.09.1942	1942-09-05	1942-09-05	Sep	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	im Jahre 1943 nach Auschwitz	1943	1943	NA	NA	NA	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
von Moabit nach Auschwitz	Moabit 	Auschwitz	Auschwitz	am 01.03.1943 von Moabit nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
von Grunewald nach Łódź / Litzmannstadt	Grunewald 	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 18.10.1941 von Grunewald nach Łódź / Litzmannstadt	18.10.1941	18.10.1941	1941-10-18	1941-10-18	Oct	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 15.10.1942 nach Theresienstadt	15.10.1942	15.10.1942	1942-10-15	1942-10-15	Oct	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 31.08.1942 nach Auschwitz	31.08.1942	31.08.1942	1942-08-31	1942-08-31	Aug	1942
