schicksal,destiny_type,destiny_type_fac,destiny_when,destiny_when_date,destiny_when_year,destiny_location,destiny_loc_cat,destiny_loc_fac
NA,NA,unknown,NA,NA,NA,NA,NA,Unknown
ERMORDET 1942 im KZ Auschwitz,ERMORDET,murdered,1942,NA,1942,KZ Auschwitz,Auschwitz,Auschwitz
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
TOT 01.02.1944 in Theresienstadt,TOT,deceased,01.02.1944,1944-02-01,1944,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 18.08.1942 in Riga,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Riga,Riga,Riga
ERMORDET 1941 in Minsk,ERMORDET,murdered,1941,NA,1941,Minsk,Minsk,Minsk
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET 07.12.1943 in Meseritz-Obrawalde,ERMORDET,murdered,07.12.1943,1943-12-07,1943,Meseritz-Obrawalde,Meseritz-Obrawalde,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET im Ghetto Theresienstadt,ERMORDET,murdered,NA,NA,NA,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Treblinka,ERMORDET,murdered,NA,NA,NA,Treblinka,Treblinka,Treblinka
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Raasiku b. Reval,ERMORDET,murdered,NA,NA,NA,Raasiku b. Reval,Raasiku,Other
ERMORDET 03.06.1943 in Auschwitz,ERMORDET,murdered,03.06.1943,1943-06-03,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Raasiku b. Reval,ERMORDET,murdered,NA,NA,NA,Raasiku b. Reval,Raasiku,Other
ERMORDET 1944 in Auschwitz,ERMORDET,murdered,1944,NA,1944,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Raasiku b. Reval,ERMORDET,murdered,NA,NA,NA,Raasiku b. Reval,Raasiku,Other
ERMORDET 08.09.1942 in Riga,ERMORDET,murdered,08.09.1942,1942-09-08,1942,Riga,Riga,Riga
FLUCHT IN DEN TOD 08.09.1937 in Florenz/Italien,FLUCHT IN DEN TOD,deceased,08.09.1937,1937-09-08,1937,Florenz/Italien,Florenz/Italien,Other
ERMORDET Februar 1943 in Auschwitz,ERMORDET,murdered,Februar 1943,NA,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET Februar 1943 in Auschwitz,ERMORDET,murdered,Februar 1943,NA,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 08.05.1942 in Chełmno / Kulmhof,ERMORDET,murdered,08.05.1942,1942-05-08,1942,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 24.09.1942 in Theresienstadt,ERMORDET,murdered,24.09.1942,1942-09-24,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
"ERMORDET 29.10.1942 in Riga, Ghetto",ERMORDET,murdered,29.10.1942,1942-10-29,1942,"Riga, Ghetto",Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
